MOF,ASA_m^2/g,AV_Volume_fraction,AV_cm^3/g,POAV_Volume_fraction,POAV_cm^3/g,Channel Dimensionality,Working,TSN,Loged selec,vertice,edge,topo,di,df,dif
m160_fixedH_8c_o482_2c_bcu,1363.2,0.61672,0.571857,0.51472,0.477277,2,3.700466991,8.543970517,2.308889807,8c,2c,bcu,8.25257,4.77691,8.13491
m96_n1_4c_tet_o113_4c_square_pth,0,0.54594,0.370634,0.42672,0.289696,3,2.592179954,5.980044029,2.306955587,tet,square,pth,4.61471,3.2676,4.61471
m312_fixedH_4c_square_o548_2c_lvt,55.2462,0.52724,0.454732,0.27482,0.237026,1,1.499692162,3.459623284,2.306888955,square,2c,lvt,4.8717,4.06313,4.70687
m244_4c_square_o248_n2_4c_square_mot,751.197,0.59676,0.376364,0.40634,0.25627,1,1.991993135,4.59432144,2.306394213,square,square,mot,5.57607,4.57058,5.48227
m151_6c_oct_o391_n2_2c_pcu,1994.78,0.65308,0.672762,0.59666,0.614641,3,6.025017795,13.89360893,2.305986373,oct,2c,pcu,8.16875,5.94319,8.06649
m203_6c_oct_o391_n2_2c_pcu,1951.87,0.68422,0.670096,0.62852,0.615546,3,5.945037332,13.70338477,2.305012401,oct,2c,pcu,7.25701,6.05266,7.21689
m477_4c_square_o54_4c_square_cdz,392.11,0.53836,0.424019,0.41916,0.330136,1,3.488200336,8.037779989,2.304277053,square,square,cdz,4.71237,3.66404,3.99856
m340_p1_6c_oct_o520_2c_pcu,2651.3,0.70172,0.87726,0.63846,0.798175,3,5.514038088,12.70518342,2.304152277,oct,2c,pcu,7.96701,5.53726,7.91102
m282_fixedH_6c_oct_o223_4c_tet_toc,761.089,0.51028,0.437855,0.36784,0.315632,2,2.843583079,6.550764739,2.303700844,oct,tet,toc,6.34273,3.64335,6.29226
m535_6c_trp_o196_3c_sit,407.635,0.53708,0.35036,0.37994,0.247851,1,1.864949035,4.295909615,2.303499739,trp,3c,sit,5.82366,3.99447,5.71652
m415_fixedL_p2_4c_square_o248_n2_4c_square_mot,481.897,0.493,0.301429,0.38706,0.236655,1,1.772654319,4.082169953,2.302857308,square,square,mot,5.003,4.11972,5.003
m244_4c_square_o248_n2_4c_square_sse,511.399,0.56486,0.356309,0.37034,0.233608,1,2.819317099,6.49056215,2.302175287,square,square,sse,7.89363,6.76005,7.89363
m470_n2_8c_o380_2c_bcu,888.202,0.59414,0.443301,0.48178,0.359467,1,3.237887779,7.439308689,2.297580768,8c,2c,bcu,5.62569,3.92898,5.03078
m408_n2_6c_trp_o166_6c_hexagon_htp,0,0.39228,0.173062,0.24652,0.108757,1,0.282540877,0.649128227,2.297466596,trp,hexagon,htp,4.6254,3.24232,4.6254
m160_fixedH_8c_o165_4c_tet_flu,1273.88,0.59232,0.462706,0.51158,0.399634,2,3.392839705,7.790046452,2.296025492,8c,tet,flu,7.04726,4.71509,7.02519
m40_6c_oct_o315_2c_pcu,0,0.5091,0.362527,0.30304,0.215793,1,0.805806092,1.84904253,2.29464948,oct,2c,pcu,5.41257,3.59908,5.10893
m592_n2_4c_square_o245_4c_square_cdz,0,0.38716,0.228927,0.11994,0.0709203,1,0.67546393,1.549546138,2.294047202,square,square,cdz,3.69597,3.37905,3.69597
m28_4c_square_o175_4c_square_cdz,0,0.56324,0.458558,0.46508,0.378641,1,1.908472675,4.376066666,2.292967944,square,square,cdz,5.11415,3.13882,5.11415
m400_6c_trp_o511_2c_acs,1267.23,0.61712,0.518401,0.49446,0.415363,2,3.87592225,8.885157021,2.292398157,trp,2c,acs,8.9302,5.36531,8.91067
m294_fixedH_8c_o480_2c_bcu,1065.95,0.59264,0.488998,0.46342,0.382376,1,3.532530253,8.097457817,2.292254344,8c,2c,bcu,7.19832,5.15377,7.19832
m415_fixedL_p2_4c_square_o45_4c_square_cdz,430.388,0.51218,0.345058,0.37562,0.253057,1,2.166877631,4.964882046,2.291260925,square,square,cdz,4.66316,4.2694,4.49165
m329_fixedH_p3_6c_oct_o224_4c_square_soc,793.546,0.60652,0.357386,0.4976,0.293206,3,2.938787216,6.731381259,2.290530333,oct,square,soc,8.5606,6.56055,8.11451
m414_4c_square_o224_4c_square_cdm,0,0.5025,0.424352,0.37698,0.318353,1,1.706417222,3.906732183,2.28943551,square,square,cdm,4.28932,3.36432,3.80607
m415_fixedL_p2_4c_square_o511_2c_lvt,1388,0.62886,0.603705,0.50814,0.487814,3,3.561082753,8.148556276,2.288224352,square,2c,lvt,8.80245,6.37561,8.80245
m525_8c_o391_n2_2c_bcu,0,0.51586,0.416147,0.33094,0.266971,1,2.33143194,5.33415067,2.287928967,8c,2c,bcu,5.06616,3.21803,5.05836
m400_6c_trp_o391_n2_2c_acs,1760.4,0.65912,0.641774,0.58464,0.569254,3,5.290564744,12.10425143,2.287894018,trp,2c,acs,8.66126,6.56702,8.55356
m420_n2_8c_o248_n2_4c_square_csq,650.79,0.51292,0.359085,0.32262,0.22586,1,2.548333448,5.828856714,2.287321041,8c,square,csq,7.78675,6.87242,7.76926
m28_4c_square_o184_p2_4c_square_cdz,1157.97,0.6117,0.612377,0.48312,0.483655,2,3.685361005,8.426903084,2.286588226,square,square,cdz,6.26327,4.38724,5.91722
m28_4c_square_o143_4c_square_sse,766.778,0.60342,0.566661,0.54148,0.508495,3,4.349096022,9.943053596,2.286234552,square,square,sse,6.43281,4.42438,5.51716
m415_fixedL_p2_4c_square_o384_2c_lvt,1557.98,0.6502,0.664651,0.54924,0.561447,3,3.146021593,7.190225527,2.285497831,square,2c,lvt,6.52772,5.54861,6.49032
m415_fixedL_p2_4c_square_o30_3c_pto,0,0.65098,0.650041,0.57702,0.576187,3,5.132733518,11.72037935,2.283457598,square,3c,pto,9.62223,3.28791,9.49632
m449_n2_4c_square_o51_4c_square_cdz,0,0.57424,0.371184,0.48906,0.316124,2,2.45574244,5.60638277,2.282968555,square,square,cdz,5.38701,3.26652,5.38701
m592_n2_4c_square_o142_4c_square_cdz,0,0.54168,0.455084,0.40568,0.340826,1,2.624961079,5.989755486,2.281845447,square,square,cdz,4.23247,3.0125,4.06809
m424_6c_oct_o224_4c_square_soc,342.699,0.52562,0.400199,0.28698,0.218502,1,3.189773375,7.277479644,2.281503664,oct,square,soc,6.76764,4.28607,6.02731
m122_6c_oct_o198_3c_pyr,712.023,0.5931,0.381266,0.51044,0.32813,3,3.088523487,7.045297295,2.281121489,oct,3c,pyr,6.40558,3.80592,6.12752
m24_6c_oct_o449_2c_pcu,0,0.52672,0.447398,0.43434,0.36893,3,2.537446491,5.782709744,2.278948449,oct,2c,pcu,4.01144,3.23191,3.91256
m269_n2_8c_o45_4c_square_sqc,0,0.49602,0.291855,0.32684,0.192311,1,1.839231794,4.187836644,2.27694881,8c,square,sqc,5.15487,3.55635,3.96076
m128_6c_oct_o524_2c_bcs,1203.96,0.62614,0.501279,0.4827,0.386443,3,3.218132666,7.32745824,2.27692858,oct,2c,bcs,7.70019,4.6268,6.9202
m325_8c_o447_2c_bcu,0,0.46992,0.335165,0.275,0.19614,1,1.371863098,3.123476689,2.276813695,8c,2c,bcu,5.58556,3.01454,4.64406
m17_4c_tet_o196_3c_ctn,848.448,0.59352,0.387974,0.47448,0.31016,3,3.058599582,6.963136212,2.276576592,tet,3c,ctn,6.0503,4.09939,6.0503
m2_4c_square_o567_4c_square_cdz,0,0.51634,0.361073,0.41594,0.290864,1,3.193824957,7.269580677,2.276136224,square,square,cdz,4.01586,3.17707,3.98969
m344_6c_oct_o391_n2_2c_pcu,1986.46,0.6368,0.642189,0.55826,0.562985,3,5.446098704,12.394246,2.275802675,oct,2c,pcu,6.79716,4.94877,6.75544
m142_fixedH_p4_8c_o298_n1_2c_bcu,809.267,0.596,0.401417,0.46564,0.313617,3,2.62454725,5.96844517,2.274085624,8c,2c,bcu,6.64879,5.19719,6.58845
m310_4c_square_o45_4c_square_cdz,216.473,0.52846,0.279992,0.44072,0.233505,1,2.153227773,4.896291087,2.273930863,square,square,cdz,4.81424,3.66336,4.11985
m328_4c_square_o108_4c_square_mot,0,0.36778,0.126924,0.25954,0.0895694,1,0.780230852,1.774018701,2.273710013,square,square,mot,4.19588,3.39437,4.12993
m279_8c_o45_4c_square_sqc,0,0.47958,0.37099,0.2142,0.165699,1,1.691504534,3.845372376,2.273344409,8c,square,sqc,4.67752,3.3141,4.27103
m333_6c_trp_o515_2c_acs,934.18,0.60896,0.410996,0.52276,0.352818,3,3.642850879,8.275194073,2.271625808,trp,2c,acs,6.08358,4.75669,6.06128
m535_6c_trp_o216_6c_oct_nia,998.33,0.5954,0.46952,0.47364,0.373502,1,3.042028483,6.909110779,2.271218306,trp,oct,nia,5.69484,4.61222,5.69484
